created_at,entry_id,field1
2026-02-11 21:44:31 UTC,9551,21.7
2026-02-11 21:44:47 UTC,9552,21.7
2026-02-11 21:45:03 UTC,9553,21.7
2026-02-11 21:45:19 UTC,9554,21.7
2026-02-11 21:45:34 UTC,9555,21.7
2026-02-11 21:45:50 UTC,9556,21.7
2026-02-11 21:46:06 UTC,9557,21.7
2026-02-11 21:46:22 UTC,9558,21.7
2026-02-11 21:46:38 UTC,9559,21.7
2026-02-11 21:46:54 UTC,9560,21.7
2026-02-11 21:47:09 UTC,9561,21.7
2026-02-11 21:47:25 UTC,9562,21.7
2026-02-11 21:47:41 UTC,9563,21.7
2026-02-11 21:47:57 UTC,9564,21.7
2026-02-11 21:48:13 UTC,9565,21.7
2026-02-11 21:48:28 UTC,9566,21.7
2026-02-11 21:48:44 UTC,9567,21.7
2026-02-11 21:49:00 UTC,9568,21.7
2026-02-11 21:49:16 UTC,9569,21.7
2026-02-11 21:49:32 UTC,9570,21.7
2026-02-11 21:49:47 UTC,9571,21.7
2026-02-11 21:50:03 UTC,9572,21.7
2026-02-11 21:50:19 UTC,9573,21.7
2026-02-11 21:50:35 UTC,9574,21.7
2026-02-11 21:50:51 UTC,9575,21.7
2026-02-11 21:51:07 UTC,9576,21.7
2026-02-11 21:51:22 UTC,9577,21.7
2026-02-11 21:51:38 UTC,9578,21.7
2026-02-11 21:51:54 UTC,9579,21.7
2026-02-11 21:52:10 UTC,9580,21.7
2026-02-11 21:52:26 UTC,9581,21.7
2026-02-11 21:52:41 UTC,9582,21.7
2026-02-11 21:52:57 UTC,9583,21.7
2026-02-11 21:53:13 UTC,9584,21.7
2026-02-11 21:53:29 UTC,9585,21.7
2026-02-11 21:53:44 UTC,9586,21.7
2026-02-11 21:54:00 UTC,9587,21.7
2026-02-11 21:54:16 UTC,9588,21.7
2026-02-11 21:54:32 UTC,9589,21.7
2026-02-11 21:54:48 UTC,9590,21.7
2026-02-11 21:55:03 UTC,9591,21.7
2026-02-11 21:55:19 UTC,9592,21.7
2026-02-11 21:55:35 UTC,9593,21.7
2026-02-11 21:55:51 UTC,9594,21.7
2026-02-11 21:56:07 UTC,9595,21.7
2026-02-11 21:56:22 UTC,9596,21.7
2026-02-11 21:56:38 UTC,9597,21.7
2026-02-11 21:56:57 UTC,9598,21.7
2026-02-11 21:57:13 UTC,9599,21.7
2026-02-11 21:57:28 UTC,9600,21.7
2026-02-11 21:57:44 UTC,9601,21.7
2026-02-11 21:58:00 UTC,9602,21.7
2026-02-11 21:58:16 UTC,9603,21.7
2026-02-11 21:58:32 UTC,9604,21.7
2026-02-11 21:58:47 UTC,9605,21.7
2026-02-11 21:59:03 UTC,9606,21.7
2026-02-11 21:59:19 UTC,9607,21.7
2026-02-11 21:59:35 UTC,9608,21.7
2026-02-11 21:59:51 UTC,9609,21.7
2026-02-11 22:00:07 UTC,9610,21.7
2026-02-11 22:00:22 UTC,9611,21.7
2026-02-11 22:00:38 UTC,9612,21.7
2026-02-11 22:00:54 UTC,9613,21.7
2026-02-11 22:01:10 UTC,9614,21.7
2026-02-11 22:01:25 UTC,9615,21.7
2026-02-11 22:01:41 UTC,9616,21.7
2026-02-11 22:01:57 UTC,9617,21.7
2026-02-11 22:02:13 UTC,9618,21.7
2026-02-11 22:02:29 UTC,9619,21.7
2026-02-11 22:02:45 UTC,9620,21.7
2026-02-11 22:03:00 UTC,9621,21.7
2026-02-11 22:03:16 UTC,9622,21.7
2026-02-11 22:03:32 UTC,9623,21.7
2026-02-11 22:03:48 UTC,9624,21.7
2026-02-11 22:04:03 UTC,9625,21.7
2026-02-11 22:04:19 UTC,9626,21.7
2026-02-11 22:04:35 UTC,9627,21.7
2026-02-11 22:04:51 UTC,9628,21.7
2026-02-11 22:05:07 UTC,9629,21.7
2026-02-11 22:05:22 UTC,9630,21.7
2026-02-11 22:05:38 UTC,9631,21.7
2026-02-11 22:05:54 UTC,9632,21.7
2026-02-11 22:06:10 UTC,9633,21.7
2026-02-11 22:06:26 UTC,9634,21.7
2026-02-11 22:06:41 UTC,9635,21.7
2026-02-11 22:06:57 UTC,9636,21.7
2026-02-11 22:07:13 UTC,9637,21.7
2026-02-11 22:07:29 UTC,9638,21.7
2026-02-11 22:07:45 UTC,9639,21.7
2026-02-11 22:08:01 UTC,9640,21.7
2026-02-11 22:08:16 UTC,9641,21.7
2026-02-11 22:08:32 UTC,9642,21.7
2026-02-11 22:08:48 UTC,9643,21.7
2026-02-11 22:09:04 UTC,9644,21.7
2026-02-11 22:09:19 UTC,9645,21.7
2026-02-11 22:09:35 UTC,9646,21.7
2026-02-11 22:09:51 UTC,9647,21.7
2026-02-11 22:10:07 UTC,9648,21.7
2026-02-11 22:11:44 UTC,9649,24.3
2026-02-11 22:12:00 UTC,9650,24.5
